"x1","x2","x3","x4","x5","x6","x7","x8"
35.0,0.003716190672074352,0.0038557918292408894,0.004755587674666714,0.005655383520191148,0.009371574192370138,0.0945337985397002,0.094107
36.0,0.0034392783141493286,0.0035549741833250667,0.004348749677376304,0.005142525171527625,0.008581803485812906,0.0867979525070099,0.086328
37.0,0.0022981959847710905,0.002387256773682553,0.0030620377474335873,0.0037368187212841013,0.006035014706159893,0.10139832703861387,0.10088
38.0,0.0014909196811677093,0.00155071338736309,0.0020960645987004884,0.0026414158101395416,0.00413233549107076,0.11495261794202896,0.11438
39.0,0.0011949103081739798,0.0012247053900573026,0.0016313027618323074,0.0020379001337103653,0.003232810442043586,0.08177361332971832,0.08114
40.0,0.0008845124682207751,0.0008862880541077175,0.0011501774837446163,0.0014140669134871076,0.0022985793818333412,0.05523064244275491,0.054529
41.0,0.0005881454634867438,0.0005602819314899513,0.0006765868098711535,0.0007928916883616398,0.001381037151980129,0.07959815878452486,0.078821
42.0,0.00025689682736030825,0.0001977812794314057,0.00016117272987827653,0.0001245641804316906,0.0003814610079076633,0.07692429112458328,0.076063
43.0,-0.0001132604000336733,-0.00020423826988338065,-0.00039910203280522786,-0.0005939657956150917,-0.0007072261955290032,0.04701995495152385,0.046065
44.0,-0.0004968365287433031,-0.0006189192318823897,-0.0009755592217015024,-0.001332199211413123,-0.0018290357400370563,0.04246387672431779,0.041405
45.0,-0.000854009650626493,-0.0010083374840283176,-0.0015318295075137417,-0.002055321530876519,-0.002909331181401378,0.14265416384749222,0.14148
46.0,-0.0013076258532474794,-0.0014953704456240158,-0.0021949191227655213,-0.002894467799788585,-0.004202093652922375,0.15128322517145779,0.14998
47.0,-0.0019408501137476442,-0.0021598913797752197,-0.0030423170686082928,-0.003924742757314714,-0.005865592870970716,0.07178860936822007,0.070341
48.0,-0.0034507779411898365,-0.00369513876046133,-0.004759460031431684,-0.0058237813022893655,-0.009274559243373904,0.056073048029475867,0.054465
49.0,-0.0044644341250623144,-0.004733897375907238,-0.005987050312971108,-0.00724020324991438,-0.011704637374899957,0.04939919636804597,0.047613
50.0,-0.0048826098753422635,-0.005177216569187276,-0.006632113726276745,-0.008087010883249198,-0.01296962075849431,0.004451744077706682,0.0024678
51.0,-0.0053433741965160965,-0.005662318808041841,-0.007330390745948495,-0.008998462683717604,-0.01434183688016435,0.0026286366064522722,0.00042554
52.0,-0.005852870387889217,-0.0061948216808435045,-0.008090223386485388,-0.009985625091985853,-0.01583849547976518,-0.003352266890073896,-0.0057983
53.0,-0.006415363251798544,-0.0067798914306521,-0.00891796687042834,-0.011056042310067132,-0.017471405561759787,-0.0041791080236303485,-0.0068945
54.0,-0.007189403210032062,-0.007575970370672883,-0.009973253086874231,-0.01237053580292311,-0.019559939012838437,0.0034698891177367824,0.00045584
55.0,-0.0076813023645798464,-0.008090854518695659,-0.01077275884456929,-0.013454663170286167,-0.021135965534843003,-0.033880297038797684,-0.037226
56.0,-0.007942909431556237,-0.00837772376892194,-0.011378245947196762,-0.014378768123432393,-0.022321677554892748,-0.01977055023122431,-0.023484
57.0,-0.008251086680125023,-0.008711649228255878,-0.012101699334088492,-0.015491749445451621,-0.023742836125576393,-0.09714837718517794,-0.10127
58.0,-0.008597294578482892,-0.009084143344370625,-0.012773112553173288,-0.016462081761908325,-0.025059376340360692,-0.000577371603623214,-0.0051513
59.0,-0.009002236011249169,-0.009510537712960366,-0.013523008407669136,-0.017535479102279698,-0.026537715113447137,-0.055389598470908304,-0.060466
60.0,-0.009457256197991877,-0.009975965990028892,-0.014335877978733058,-0.0186957899658098,-0.02815304616388192,-0.07528796597285878,-0.080922
61.0,-0.009970989058202939,-0.010498443848291074,-0.015302314048799491,-0.02010618425380458,-0.030077173312033512,-0.018336137543863863,-0.024589
62.0,-0.010564047113907061,-0.01109866725171942,-0.01617324429008375,-0.02124782132844376,-0.03181186844226347,-0.00899956795736484,-0.01594
63.0,-0.011244542581738862,-0.011780193774054044,-0.017147469237487854,-0.02251474470088952,-0.033759287282601726,-0.0009569491166272273,-0.0086614
64.0,-0.012023503394131128,-0.012548452719173346,-0.01825662284744327,-0.0239647929756292,-0.03598829636964368,0.006052713272591825,-0.0025009
65.0,-0.012919540049122734,-0.013430670415163402,-0.019549285745327986,-0.025667901075545858,-0.03858744112469533,0.010137317728622676,0.00063996
66.0,-0.015573174420226887,-0.01606762342022358,-0.022401418316195566,-0.0287352132121396,-0.04430838763226527,0.009295524991363963,-0.0012507
67.0,-0.01922686077969053,-0.01971188469725956,-0.026303173065503428,-0.03289446143368312,-0.052121322213353055,-0.1350879611573783,-0.1468
68.0,-0.019644697205475972,-0.020164880814268683,-0.027626274293316135,-0.03508766777240273,-0.05473236497790072,-0.19070383579608255,-0.20371
69.0,-0.011309955344276708,-0.011740070781672187,-0.01725664353082936,-0.022773216279959856,-0.03408317162416545,-0.0037173687557773144,-0.014076
70.0,-0.01850521523276171,-0.01896703058761517,-0.02529711894070156,-0.03162720729378671,-0.05013242252656766,-0.027616961162000464,-0.039118
71.0,-0.018586451895998446,-0.019059112454481105,-0.025785961890436495,-0.03251281132632666,-0.05109926322238427,-0.0692244030319608,-0.081995
